itemID,styleID
11757,1199
5441,1199
19960,1199
55900,1199
57110,14879
21822,1199
1550,394
54731,263
429,1
20539,394
21556,568
7675,3268
11493,5313
43893,7402
17010,577
10656,5049
30618,10541
7348,1199
58053,395
25852,1199
16074,1199
60511,1199
20478,1199
1525,568
10649,1454
28350,3268
33624,14879
29145,263
24059,3268
7463,1199
7672,3268
1018,263
17538,1199
727,263
3824,1417
962,365
4904,1417
45482,16386
436,163
28951,13397
41778,10541
48911,1199
69894,1199
35036,1199
34146,1199
47658,1199
31705,13905
1324,263
36376,13905
34808,13905
8590,765
1542,576
15894,2724
39606,2724
3939,1417
24905,1199
959,365
51483,9020
47695,14879
53468,1199
40153,14879
33927,14879
13350,3268
1504,568
37403,1199
29687,395
36269,10541
3517,394
1492,394
74159,394
13282,2446
1414,163
23474,1199
25884,12224
966,365
26352,2100
55445,1454
63020,1454
15660,1454
39008,1454
1620,394
1621,394
9906,394
798,289
10784,1075
1123,395
16115,1199
1549,394
3003,395
25656,9020
1622,394
3365,395
1121,395
16638,3268
20470,394
1154,394
1122,395
1152,394
2106,394
2324,394
33644,14879
6551,1254
4073,1199
1791,60
7167,1315
176,60
175,60
47541,9020
47694,14879
20893,9020
4014,1315
54134,14879
8555,1315
25181,3282
5481,2100
960,365
25382,394
64848,24447
64849,24447
64846,24447
5411,394
10785,1075
58850,3268
60686,3268
56887,3268
42948,12224
54827,1199
59125,12224
20169,6513
34368,11710
1413,163
10479,3512
1418,163
3606,1315
4920,1315
2572,807
36299,4103
13152,3282
28668,11710
32621,2647
5916,1
17610,2647
7694,3282
7693,3282
8422,3282
24501,11710
39314,8802
21688,9020
37518,14879
34362,394
43396,16994
21704,263
46255,16994
53466,1199
26201,453
47832,1199
178,60
46254,16994
47659,1199
46248,16994
53497,1199
46249,16994
1599,60
16079,1199
51301,1199
59548,14879
46252,16994
1598,60
36862,14879
16073,1199
53421,16386
43091,16386
46088,16386
36670,394
511,14
3825,1463
76685,23246
67507,24486
51404,20638
72146,23246
66818,23246
73369,2554
62101,23020
45116,2554
1539,574
30034,13670
69677,23246
59514,23020
20891,568
69866,23246
66057,24486
66029,24486
1535,574
31063,3351
25414,1075
13084,5049
14299,807
63611,2916
9118,1303
52239,5049
8203,807
52211,14879
48521,21516
48519,21516
48556,21516
4373,1386
27589,2430
27586,2430
14973,3403
34326,3403
23729,3403
71157,577
20310,3403
26012,807
57640,1199
67405,24445
72317,1199
72827,14879
67407,24445
59966,1199
49442,395
72821,24445
69461,14879
68737,24445
66848,24445
34361,394
67399,24445
67236,24445
65528,24445
67406,24445
71809,24445
58914,1199
65401,24445
65339,395
71802,24445
74145,26946
46634,14338
72823,24445
68738,24445
65403,24445
65400,24445
47245,2446
72822,24445
71230,24445
60512,1199
72820,24445
67398,24445
33662,14879
1415,163
73506,12003
54000,850
5487,2098
40028,395
53779,14879
10605,4955
35649,3268
46386,365
36037,15636
64096,14879
7324,395
45991,365
49077,1199
44909,394
43151,394
963,365
43312,394
7047,1482
49237,1199
52368,394
43438,394
41688,394
16417,1482
24233,5514
2718,860
48525,365
20575,9020
7673,3268
38468,16269
63863,9020
510,14
454,14
26394,1199
961,365
21034,5892
3810,1413
21800,14
17183,14
21436,14
515,14
14413,2446
8950,2446
5537,1315
43803,2100
56071,1075
29204,395
56115,14879
3619,394
1521,568
38552,765
34590,365
33227,365
13583,2055
6769,1315
2784,765
8274,765
22907,453
48167,765
53158,765
41315,765
8102,1917
53159,765
30372,13831
29727,765
30682,765
32222,765
54361,765
25049,765
38866,765
18533,765
6825,1454
60584,1199
57921,14484
64233,14484
41519,14484
17655,14
2599,14
3537,14
10001,14
507,14
514,14
17525,14
16083,14
15550,14
513,14
52159,1075
47693,394
1554,568
31704,13905
25468,568
27982,936
6523,14
32780,12224
51613,18012
45260,16386
56259,22167
61053,14756
10480,3512
65682,3268
62419,12224
71212,14
39677,10154
10265,3351
10602,4955
4872,1068
31970,4955
58540,765
53495,365
58027,365
27597,765
35717,365
27596,765
76696,1199
46242,18012
505,14
4786,1315
47084,14
35064,15527
1825,394
6150,2446
20757,850
10645,1127
8717,850
2780,850
2725,850
19558,850
20379,5246
20758,850
48439,7402
22272,1497
48555,21516
48438,7402
58920,1075
54059,394
41788,15636
44596,395
6968,1315
59849,14365
74768,14365
52425,14365
53909,14365
40308,14365
53129,14365
18293,3403
2719,860
1557,577
36270,10541
69174,395
45132,14756
29142,850
41683,850
31703,14
46821,16890
54216,8802
44459,7732
71766,16890
25918,12224
51622,12224
53599,12224
56733,16890
51931,12224
51845,12224
45543,8802
51898,12224
44429,7732
21521,2055
51804,12224
34341,7402
62631,23982
73052,2446
20417,395
4371,1386
12073,5313
22450,3268
5972,395
60704,21841
28952,13397
51710,1199
65447,21841
54028,1199
56982,21841
58046,1075
1536,574
58916,1199
43373,1199
31118,1199
58272,1199
75907,23246
39289,14756
63894,10541
40595,10541
60555,10541
75087,394
51917,14879
13816,14
69968,14
512,14
40197,14
62529,14
49360,14
57959,14
5008,1417
41360,807
62717,21841
56981,21841
22962,9816
15280,5049
14454,395
41532,395
59736,395
49391,395
27362,9020
32844,1315
15204,1497
40632,14365
34739,1463
34738,1463
36580,1463
22604,1463
38540,1463
22808,1463
42953,1463
19123,1
37175,1463
36609,1463
42573,1463
11456,577
20986,1463
36470,1463
22958,9816
32179,1463
41294,1
36720,1463
13241,7091
22966,9816
36484,1463
49075,3351
18573,2055
22616,1463
38233,1463
12754,807
53959,1463
22609,1463
22817,1463
30563,5514
39299,3268
58129,20658
61745,1386
33706,1386
73646,20658
47783,1386
59141,1386
4372,1386
62643,1386
4370,1386
53677,20658
44082,2724
32374,1386
20447,2098
51733,3965
4374,1386
68447,20658
33242,1386
53679,20658
64423,20658
64060,1386
5761,807
64487,1386
31973,1386
41084,2724
50089,3965
36167,395
45137,14756
52556,3268
8769,2724
34982,10541
13112,936
66845,20658
60122,1386
52175,1386
56004,1386
8770,2724
39886,1386
1589,395
56000,1386
20818,1075
42939,1199
6029,2414
46670,16386
44351,765
66483,24445
68385,24445
65458,24445
68388,24445
22213,2188
18294,3403
48466,3282
62233,394
65666,394
62198,765
57275,14
24983,5892
28949,13397
12197,1417
36380,765
20022,3282
18310,3403
38261,6272
18968,6272
20021,3282
16818,6272
61427,1075
21217,6272
965,365
24989,365
33880,3403
75155,3403
38982,14879
40815,12224
61936,5500
60990,1075
8869,765
14242,765
5009,1417
67171,14
44579,14756
54908,12224
37952,2446
508,14
40176,12224
503,14
40766,16791
509,14
40765,16791
20817,1075
61681,394
28950,13397
52703,2098
7849,2310
10789,1075
23290,1075
10786,1075
18903,9347
45878,14
39215,395
67839,395
45922,395
50525,395
25101,2446
45923,395
35378,395
41240,395
40336,395
16695,5500
25250,12003
12186,1199
12835,2724
12982,2098
12386,1075
60661,1199
16122,2430
33505,14
50929,395
6030,2414
65556,7402
638,14
3806,1413
3804,1413
5652,1413
5658,1413
4110,14
5657,1413
5659,1413
2740,860
5660,1413
4570,14
19309,2055
7815,453
22960,9816
11900,14
25386,14
8575,14
7731,14
5181,1487
60209,16050
13548,2055
3326,1068
35643,12224
25917,12224
55890,7402
54724,20658
48301,18012
15244,2098
49490,936
20560,2098
17162,936
48148,7402
3386,163
36367,13670
39716,13228
40342,13228
19046,3351
6138,807
15203,1497
5360,1497
36391,14
66433,765
14591,2446
26930,14
35228,1454
8284,1454
23616,395
48605,395
7516,14
57894,14756
8999,3351
22590,9370
30371,13831
24722,9347
19099,1
32923,13831
14014,568
59439,568
33869,13905
37506,13905
55975,3282
41816,1199
62921,14879
16491,1454
69250,395
6824,1454
65764,395
51532,395
15578,6513
6723,2850
2788,14
8424,14
5256,14
65833,24757
32973,6513
47864,13614
73752,13614
30983,2055
6353,14
19201,2464
21191,2906
11897,2906
14394,2906
14396,2906
21694,2906
18879,1199
41613,12224
42030,16517
49418,16517
48658,16517
41772,16517
42534,16517
56103,16517
43837,16517
35882,15636
40248,15636
40448,15636
53794,1199
12928,860
59464,5246
66603,21516
17737,1289
65483,16859
61800,16859
61799,16859
55193,850
30181,8775
62088,3268
30241,8775
30183,8775
26007,3282
8310,2916
15474,1454
32306,1454
31935,1454
33272,1454
50448,16386
33698,807
70931,807
38943,807
51751,2916
63117,2647
37046,807
7425,1303
9117,1303
62689,23020
14435,807
15131,1303
34416,5049
37045,807
35982,2430
51749,807
75063,27133
11328,1417
69069,807
14301,807
31487,807
17160,807
11963,3403
46078,807
15140,1303
12734,807
69242,1303
61003,3282
47421,6513
57792,807
23282,1303
68227,807
14592,2446
40303,394
19261,6836
26420,11715
24082,394
20962,3268
27799,11715
37681,13905
39360,395
25932,12224
22591,9370
45820,3268
37650,13831
53846,13831
14243,765
38865,765
66619,21516
57800,1463
42591,16386
65484,16859
7360,936
66423,18012
64840,24447
64850,24447
50315,20268
18313,4103
5547,971
20017,3631
19260,6836
70612,3512
72130,11710
51575,1
59239,163
70611,3512
49865,1
9200,4103
64879,2055
67170,14
52405,860
63006,18012
38955,16323
49416,11863
49571,11863
68411,24486
67188,24486
49718,13228
17094,9020
22464,453
1681,395
38226,850
73252,10541
73331,10541
70795,1199
71808,24445
67533,1199
70440,24445
70439,24445
65932,1199
70437,24445
71811,24445
61176,16386
65796,1199
23406,14
51248,1
65211,21138
65210,21138
65197,21138
65209,21138
65208,21138
54995,11203
5756,14
43944,1454
39009,1454
25011,1199
23118,3282
12155,6277
46238,18012
30222,2412
30226,2412
55410,3268
34569,850
61478,1454
62829,12003
73761,765
75342,24445
15139,1303
11097,5095
15130,1303
14300,807
11126,5095
20243,2600
59015,22167
32759,3965
61477,2804
46179,2804
45701,2618
49707,2804
43108,16386
19898,2188
16892,2188
73062,1199
68432,1199
74027,850
68430,1199
68401,1199
32371,2446
46317,1199
8514,850
64458,395
21753,1199
58940,21841
53010,7402
18898,9347
30368,13831
42273,5321
42274,5321
31790,6272
13153,3282
562,14
72329,15636
72330,1075
60951,1075
66041,394
74676,26990
76766,26990
2776,850
13020,14
38212,15636
47781,1386
38766,5319
45347,1386
44161,14
60225,5319
45344,1386
48932,1386
37917,1075
45887,1386
53591,1386
37559,1386
46639,18816
56001,1386
45348,1386
41516,14
60224,5319
44279,14
45885,1386
26771,365
57994,16386
48526,14
43514,12224
39480,5246
47880,850
62442,850
15062,5246
57668,21841
56978,21841
64727,7402
66763,7402
69060,395
41881,13905
23329,3407
34152,5500
30272,5500
30271,5500
47570,14
75030,24477
41491,3965
73339,24477
73340,24477
22697,11084
41492,3965
75032,24477
75036,24477
75031,24477
41490,3965
75029,24477
27753,395
47710,395
15339,568
8679,1199
26393,1199
21751,1199
67962,1
71189,4103
69068,1
28676,5510
17499,1497
17501,1497
58921,2310
25520,2310
53579,2310
24473,14
69373,14484
68239,14484
69362,14484
57686,12003
63773,13905
62737,13831
60786,13831
54772,13831
27347,395
44704,12224
67360,14
69021,14
48078,17285
48172,17285
24016,850
1546,564
49452,1199
34636,395
34637,395
69865,394
41843,14338
45450,2310
34419,1199
30484,1199
21246,1199
34461,1199
39669,1199
30248,1199
56740,24072
59364,16041
74244,394
66030,24486
72064,2554
63220,23020
67508,24486
71868,16041
63654,2446
62726,5246
45774,395
63995,21841
43737,395
49076,1199
19869,1199
16693,5500
16692,5500
18604,807
19551,7091
65767,4103
64816,7314
30199,12907
62056,453
41508,5514
58519,568
65382,12224
72732,5514
66528,24748
54060,17293
53258,20268
11896,2906
10788,1075
14348,1
37619,3351
23660,7104
19274,1
23599,807
33445,3403
11709,577
49864,1386
53906,14365
73941,14365
13289,1454
57560,2310
48047,2554
74488,765
63219,23020
49748,7402
25214,3282
20204,574
55702,1199
67578,395
50411,7601
75850,14879
74654,2188
50714,20268
74651,2188
74120,20268
35573,11203
57172,22167
48530,7402
74657,1199
56735,2055
51426,5752
31630,765
25103,365
21607,765
49271,13905
26686,765
41503,394
62765,1199
61417,23246
51721,2554
66769,13228
62884,23246
45555,13228
61425,23246
51842,13228
62342,568
31912,14
14241,4103
52352,18012
18091,7536
40302,394
74675,26990
74683,26990
19140,885
19139,885
19141,885
19142,885
19143,885
19149,885
57024,1199
51601,18816
69515,2098
33584,163
49786,395
54545,18816
34150,5500
34151,5500
34153,5500
25153,5510
10478,3512
12421,936
18382,2916
32710,765
58171,14
15655,3701
15654,3701
15656,3701
20504,10103
15653,3701
30273,12224
28373,9370
55076,21801
40268,14
34342,7402
53907,14365
53908,14365
73411,263
69510,395
41106,14
60874,14879
46683,16994
