userID,itemID,styleID,rating
401,32780,12224,3.0
7548,21688,9020,3.5
7663,1521,568,4.0
1357,3824,1417,3.5
1361,727,263,4.5
2934,16074,1199,4.0
401,33644,14879,4.5
6606,16074,1199,4.5
530,35036,1199,4.5
2681,58171,14,4.5
1095,45820,3268,2.0
523,25852,1199,4.5
5925,32844,1315,4.0
335,6523,14,4.5
6453,19960,1199,4.5
1691,55900,1199,5.0
7628,27585,2430,3.0
6840,19960,1199,4.5
7740,429,1,4.5
1615,4374,1386,4.5
1439,34146,1199,4.0
7893,1521,568,4.5
4060,47695,14879,4.5
303,51483,9020,4.0
3971,19960,1199,4.5
439,58940,21841,2.5
3156,62765,1199,4.0
4007,21822,1199,3.5
1043,2106,394,3.5
105,35378,395,4.5
3655,19960,1199,4.5
1221,52211,14879,4.0
3690,34146,1199,4.0
8276,429,1,4.5
5754,513,14,4.0
136,35036,1199,3.0
7104,11757,1199,2.0
1512,15244,2098,4.0
3608,28950,13397,5.0
7452,5441,1199,4.5
2681,727,263,3.5
4573,36038,15636,4.5
2909,22590,9370,3.5
579,11757,1199,4.0
5768,19960,1199,5.0
6732,1018,263,3.0
958,21822,1199,4.0
7027,20470,394,4.0
230,4073,1199,2.5
24,966,365,4.5
8151,436,163,2.0
2446,1622,394,2.5
4489,4904,1417,4.5
4740,41240,395,4.0
139,64096,14879,3.5
160,19960,1199,4.5
1531,1621,394,3.5
4741,16074,1199,3.5
376,25852,1199,4.0
1739,7167,1315,4.5
607,70391,14,3.5
695,33644,14879,4.0
4983,35649,3268,5.0
457,23474,1199,3.0
2932,16074,1199,4.0
2566,16074,1199,4.5
4905,25852,1199,4.5
1372,966,365,4.5
3285,57110,14879,4.0
3156,19960,1199,4.5
7326,511,14,4.5
2768,47658,1199,5.0
7806,17538,1199,4.0
290,64727,7402,3.0
517,34146,1199,4.0
2135,47695,14879,4.5
1445,16074,1199,4.5
872,25382,394,4.0
1372,22907,453,4.0
2503,962,365,4.0
721,7463,1199,4.0
7310,1598,60,4.0
7222,25414,1075,3.5
3461,4904,1417,3.0
1953,47694,14879,4.0
4899,4904,1417,4.5
3316,23474,1199,4.5
5448,21822,1199,4.0
6437,436,163,2.0
3189,20478,1199,4.5
939,4073,1199,3.5
3491,5441,1199,4.5
561,7463,1199,4.0
3881,2718,860,4.5
7311,1504,568,4.0
5753,1525,568,4.0
1663,429,1,4.0
4488,10784,1075,4.0
8,5441,1199,4.5
7812,23474,1199,4.0
2693,7348,1199,4.0
30,7167,1315,4.0
4209,46386,365,4.0
1029,16074,1199,3.5
835,25852,1199,4.5
4999,5441,1199,4.5
5374,7675,3268,3.5
2952,21556,568,3.0
1274,1504,568,4.5
4569,960,365,4.5
579,60511,1199,4.5
558,19960,1199,4.5
263,69250,395,4.5
8123,3939,1417,3.5
496,5441,1199,3.5
4014,35649,3268,4.0
5829,966,365,4.0
2544,5441,1199,3.5
6575,1018,263,4.0
2681,436,163,2.0
6075,5441,1199,4.0
873,17538,1199,4.0
1335,7348,1199,4.0
6608,727,263,3.0
1883,19960,1199,4.0
5156,1018,263,4.0
721,7348,1199,4.0
7362,1504,568,4.5
3416,8102,1917,3.5
1948,16638,3268,2.5
6200,33644,14879,4.0
403,10784,1075,4.0
5097,1121,395,3.5
6018,20470,394,3.5
558,33624,14879,4.0
2258,16074,1199,4.5
1042,17538,1199,3.5
2276,12186,1199,4.0
659,1324,263,4.0
